"name1","name2","period","issue_num","p1","p2"
"adamklein","takluyver","20120","892","2","2"
"adamklein","gerigk","20120","892","2","1"
"takluyver","wesm","20120","892","2","2"
"gerigk","wesm","20120","892","1","2"
"adamklein","wesm","20120","892","2","2"
"gerigk","wesm","20120","893","21","22"
"adamklein","wesm","20120","894","2","2"
"adamklein","timmie","20120","896","211","020"
"adamklein","wesm","20120","896","211","2"
"timmie","wesm","20120","896","020","2"
"dieterv77","timmie","20120","897","0","2"
"adamklein","timmie","20120","898","2","22"
"adamklein","wesm","20120","898","2","22"
"timmie","wesm","20120","898","22","22"
"hbredin","shoyer","20150","901","2","000"
"cpcloud","shoyer","20150","901","2","000"
"jreback","shoyer","20150","901","222","000"
"mrocklin","shoyer","20150","901","0","000"
"cpcloud","hbredin","20150","901","2","2"
"hbredin","jreback","20150","901","2","222"
"cpcloud","jreback","20150","901","2","222"
"hbredin","mrocklin","20150","901","2","0"
"cpcloud","mrocklin","20150","901","2","0"
"jreback","mrocklin","20150","901","222","0"
"changhiskhan","timmie","20120","905","2","22"
"changhiskhan","wesm","20120","905","2","2"
"timmie","wesm","20120","905","22","2"
"adamklein","timmie","20120","906","1","2022222"
"lodagro","wesm","20120","909","2","2"
"adamklein","aman-thakral","20120","910","1","1"
"aman-thakral","wesm","20120","910","1","1"
"adamklein","wesm","20120","910","1","1"
"adamklein","lodagro","20120","912","2","2"
"adamklein","wesm","20120","912","2","2"
"lodagro","wesm","20120","912","2","2"
"adamklein","cartazio","20120","915","12","22021"
"cartazio","wesm","20120","915","22021","2"
"adamklein","wesm","20120","915","12","2"
"adamklein","wesm","20120","918","1","1"
"danbirken","wesm","20120","918","1","1"
"adamklein","danbirken","20120","918","1","1"
"apratap","sanand0","20121","919","21","2"
"blounsbury-usbr","sanand0","20121","919","2","2"
"jalperin","sanand0","20121","919","2","2"
"apratap","blounsbury-usbr","20121","919","21","2"
"sanand0","wesm","20121","919","2","2"
"apratap","wesm","20121","919","21","2"
"blounsbury-usbr","wesm","20121","919","2","2"
"jalperin","wesm","20121","919","2","2"
"apratap","jalperin","20121","919","21","2"
"blounsbury-usbr","jalperin","20121","919","2","2"
"wesm","wguan326","20120","920","2","21"
"changhiskhan","wesm","20121","922","2","22"
"mattharrison","wesm","20120","927","21","222"
"nicola514","wesm","20120","927","2","222"
"mattharrison","nicola514","20120","927","21","2"
"jhrhew","wesm","20121","928","2121","222"
"adamklein","wesm","20120","933","1","2"
"BrenBarn","invisibleroads","20130","936","2","1"
"ghost","invisibleroads","20130","936","2","1"
"BrenBarn","ghost","20130","936","2","2"
"colourful-land","jreback","20140","936","002","222"
"ghost","jreback","20140","936","2","222"
"jorisvandenbossche","jreback","20140","936","0","222"
"colourful-land","ghost","20140","936","002","2"
"colourful-land","jorisvandenbossche","20140","936","002","0"
"ghost","jorisvandenbossche","20140","936","2","0"
"hayd","immerrr","20141","939","2","2"
"ARF1","jreback","20150","939","22221","222"
"hayd","jreback","20150","939","1","222"
"jorisvandenbossche","jreback","20150","939","2","222"
"ARF1","hayd","20150","939","22221","1"
"ARF1","jorisvandenbossche","20150","939","22221","2"
"hayd","jorisvandenbossche","20150","939","1","2"
"ARF1","shoyer","20150","939","22221","2"
"jreback","shoyer","20150","939","222","2"
"hayd","shoyer","20150","939","1","2"
"jorisvandenbossche","shoyer","20150","939","2","2"
"adamklein","RayVR","20120","944","2","1"
"saroele","wesm","20120","945","01","22"
"adamklein","leonbaum","20120","949","012","21"
"adamklein","wesm","20120","949","012","2"
"leonbaum","wesm","20120","949","21","2"
"takluyver","wesm","20120","949","2","2"
"adamklein","takluyver","20120","949","012","2"
"leonbaum","takluyver","20120","949","21","2"
"michaelaye","wesm","20120","950","2","2"
"adamklein","wesm","20120","950","1","2"
"adamklein","michaelaye","20120","950","1","2"
"ghost","wesm","20121","950","2","1"
"blais","takluyver","20120","952","2","02"
"takluyver","wesm","20120","952","02","11"
"blais","wesm","20120","952","2","11"
"adamklein","wesm","20120","953","2","2"
"changhiskhan","wesm","20120","955","22","222"
"cpcloud","jreback","20131","955","2","2"
"jorisvandenbossche","TomAugspurger","20141","955","2","2"
"jreback","TomAugspurger","20141","955","2","2"
"jorisvandenbossche","jreback","20141","955","2","2"
"changhiskhan","wesm","20120","956","2","2"
"adamklein","dfarmer","20120","960","2","0"
"saroele","wesm","20120","961","1","2"
"changhiskhan","wesm","20120","962","2","2"
"changhiskhan","jseabold","20120","965","222","2222"
"jseabold","Mistobaan","20120","965","2222","2"
"changhiskhan","Mistobaan","20120","965","222","2"
"jseabold","wesm","20120","965","2222","2"
"changhiskhan","wesm","20120","965","222","2"
"Mistobaan","wesm","20120","965","2","2"
"jseabold","takluyver","20120","970","2222222","222002"
"takluyver","wesm","20120","970","222002","212"
"jseabold","wesm","20120","970","2222222","212"
"adamklein","takluyver","20120","971","2","220022"
"jseabold","takluyver","20120","971","12","220022"
"njsmith","takluyver","20120","971","02020","220022"
"adamklein","jseabold","20120","971","2","12"
"adamklein","njsmith","20120","971","2","02020"
"jseabold","njsmith","20120","971","12","02020"
"lodagro","wesm","20120","972","2","2"
